Model Path,Model Base,Image File URL,Prompt,Response
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_67/790684e7-9561-4ac2-8758-20a9104e6cd2.jpeg,"<image>
describe the image","<s> The image shows a scene from a video game, featuring a character dressed as Spider-Man. The character is in a hospital room, attending to a young girl who is lying in bed. The girl is wearing an oxygen mask and has a tube in her nose, indicating she is in a critical condition. Spider-Man is looking down at her with a concerned expression on his face. The room is dimly lit, with a brick wall visible in the background and a bulletin board filled with drawings and papers. There is a vase with a pink flower on the nightstand next to the girl's bed. The image is rendered in a realistic style, with detailed textures and lighting effects that give it a lifelike appearance.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_67/790684e7-9561-4ac2-8758-20a9104e6cd2.jpeg,"<image>
gimme a 1 line description of the image","<s>  The image shows a scene from the movie ""Spider-Man: Homecoming"". In the foreground, there is a young man in a Spider-Man costume. He is looking down at a young girl who is lying in a hospital bed. The girl is wearing a white shirt and has a tube in her nose. She is unconscious. In the background, there is a brick wall with a bulletin board on it. There are pictures of the girl and her family on the bulletin board.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_67/790684e7-9561-4ac2-8758-20a9104e6cd2.jpeg,"<image>
what is written on the image?",<s> The image is watermarked with the text 'NRM'.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_67/790684e7-9561-4ac2-8758-20a9104e6cd2.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a person lying down on a hospital bed.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_62/148e8520-ffb4-433c-ad99-5b185005603c.jpeg,"<image>
describe the image","<s> The image shows a scene from a video game, likely from ""Red Dead Redemption 2"" given its distinctive visual style and character design. In the foreground, there is a character dressed in a blue coat with a fur collar, a brown vest, and a brown hat. This character is standing on a wooden structure, possibly a wagon or a platform, and is looking down at another character who is sitting on the ground. The sitting character is wearing a brown hat and a brown coat, and is looking up at the standing character. The background features snowy mountains and a clear sky. There is a subtitle at the bottom of the image that reads, ""So the questions is... where is the money?""</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_62/148e8520-ffb4-433c-ad99-5b185005603c.jpeg,"<image>
gimme a 1 line description of the image",<s>  The image shows a man standing on a pile of wood. He is wearing a blue coat and a brown hat. He is looking down at another man who is sitting on the ground. The man on the ground is wearing a brown coat and a brown hat. He is looking up at the man on the pile of wood. There is a snowy mountain in the background.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_62/148e8520-ffb4-433c-ad99-5b185005603c.jpeg,"<image>
what is written on the image?","<s> The text on the image reads, 'So the questions is, where is the money?'</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_62/148e8520-ffb4-433c-ad99-5b185005603c.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a man wearing a brown hat and a brown coat. He is standing in front of a wooden structure, which appears to be a part of a train or a similar vehicle.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_30/7d85c0d4-e4ce-409a-9a72-f63c56eceee3.jpeg,"<image>
describe the image","<s> The image is a screenshot from a video game, specifically from a first-person perspective. The player is in a dimly lit, arched hallway with stone walls and a vaulted ceiling. The floor is made of large, square stones. On the left, there is a wooden chest with a red cloth on top, and next to it, a small, glowing blue crystal. The crystal emits a soft light, illuminating the immediate area around it. The walls are adorned with various symbols and inscriptions, suggesting a setting that is ancient or magical. The atmosphere is one of mystery and anticipation, as if the player is about to discover something significant.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-5k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_30/7d85c0d4-e4ce-409a-9a72-f63c56eceee3.jpeg,"<image>
gimme a 1 line description of the image",<s>  The image is a screenshot from the video game Elden Ring. It shows a dark room with a large door at the end of the hall. The door is made of stone and has a large metal ring in the center. There is a small table in the room with a few items on it.</s>
